"Product Name","Brand / Inspired By","Collection","Gender","20ml (INR)","50ml (INR)","100ml (INR)","Attar (3ml / 6ml / 12ml)","Solid & Other Sizes","Fragrance Notes","Badge / Celebrity"
"Mojave Ghost","Byredo","standard","unisex","₹349","₹549","₹999","-","-","Woody, Musk, Floral","-"
"Gypsy Water","Byredo","standard","unisex","₹349","₹549","₹999","-","-","Woody, Pine, Vanilla","-"
"Super Cedar","Byredo","standard","unisex","₹349","₹549","₹999","-","-","Woody, Rose, Musk","-"
"Rose of No Man's Land","Byredo","standard","unisex","₹349","₹549","₹999","-","-","Rose, Floral, Papyrus","-"
"1 Million","Paco Rabanne","standard","men","₹349","₹549","₹999","-","-","Spicy, Leather, Amber","BESTSELLER"
"Invictus","Paco Rabanne","standard","men","₹349","₹549","₹999","-","-","Aquatic, Fresh, Woody","-"
"Invictus Legend","Paco Rabanne","standard","men","₹349","₹549","₹999","-","-","Woody, Spicy, Amber","-"
"Lady Million","Paco Rabanne","standard","women","₹349","₹549","₹999","-","-","Floral, Honey, Woody","-"
"Cool Water","Davidoff","standard","men","₹349","₹549","₹999","-","-","Aquatic, Fresh, Woody","-"
"Cool Water Women","Davidoff","standard","women","₹349","₹549","₹999","-","-","Aquatic, Floral, Musk","-"
"Wanted","Azzaro","standard","men","₹349","₹549","₹999","-","-","Spicy, Woody, Citrus","-"
"Chrome","Azzaro","standard","men","₹349","₹549","₹999","-","-","Citrus, Aquatic, Woody","-"
"Most Wanted","Azzaro","standard","men","₹349","₹549","₹999","-","-","Spicy, Amber, Woody","POPULAR"
"Man in Black","Bvlgari","standard","men","₹349","₹549","₹999","-","-","Amber, Tobacco, Spicy","-"
"Aqva","Bvlgari","standard","men","₹349","₹549","₹999","-","-","Aquatic, Citrus, Fresh","-"
"Omnia Crystalline","Bvlgari","standard","women","₹349","₹549","₹999","-","-","Floral, Fresh, Woody","-"
"Light Blue","D&G","standard","women","₹349","₹549","₹999","-","-","Citrus, Floral, Woody","BESTSELLER"
"Light Blue (Men)","D&G","standard","men","₹349","₹549","₹999","-","-","Citrus, Aquatic, Woody","-"
"Light Blue Intense","D&G","standard","women","₹349","₹549","₹999","-","-","Citrus, Floral, Amber","-"
"King","D&G","standard","men","₹349","₹549","₹999","-","-","Tobacco, Woody, Spicy","-"
"Queen","D&G","standard","women","₹349","₹549","₹999","-","-","Rose, Floral, Woody","-"
"Eros","Versace","standard","men","₹349","₹549","₹999","-","-","Minty, Woody, Vanilla","-"
"Dylan Blue","Versace","standard","men","₹349","₹549","₹999","-","-","Aquatic, FougÃ¨re, Woody","-"
"Bright Crystal","Versace","standard","women","₹349","₹549","₹999","-","-","Floral, Fruity, Musk","-"
"Crystal Noir","Versace","standard","women","₹349","₹549","₹999","-","-","Floral, Oriental, Musk","-"
"La Nuit de L'Homme","YSL","standard","men","₹349","₹549","₹999","-","-","Spicy, Woody, Cardamom","BESTSELLER"
"Y EDP","YSL","standard","men","₹349","₹549","₹999","-","-","Fruity, Spicy, Woody","-"
"Black Opium","YSL","standard","women","₹349","₹549","₹999","-","-","Coffee, Vanilla, Floral","-"
"Libre","YSL","standard","women","₹349","₹549","₹999","-","-","Floral, Lavender, Musk","-"
"CK One","CK","standard","unisex","₹349","₹549","₹999","-","-","Citrus, Fresh, Musk","-"
"Eternity","CK","standard","men","₹349","₹549","₹999","-","-","Green, Floral, Woody","-"
"Euphoria","CK","standard","women","₹349","₹549","₹999","-","-","Floral, Oriental, Fruity","-"
"Terre d'HermÃ¨s","Hermes","standard","men","₹349","₹549","₹999","-","-","Woody, Citrus, Earthy","-"
"Voyage d'HermÃ¨s","Hermes","standard","unisex","₹349","₹549","₹999","-","-","Fresh, Citrus, Woody","-"
"Twilly d'HermÃ¨s","Hermes","standard","women","₹349","₹549","₹999","-","-","Floral, Ginger, Tuberose","-"
"L'Eau d'Issey","Issey Miyake","standard","men","₹349","₹549","₹999","-","-","Aquatic, Fresh, Woody","-"
"L'Eau d'Issey (Women)","Issey Miyake","standard","women","₹349","₹549","₹999","-","-","Aquatic, Floral, Musk","-"
"Luna Rossa","Prada","standard","men","₹349","₹549","₹999","-","-","Aquatic, Herbal, Woody","-"
"Luna Rossa Black","Prada","standard","men","₹349","₹549","₹999","-","-","Spicy, Woody, Amber","-"
"Candy","Prada","standard","women","₹349","₹549","₹999","-","-","Sweet, Musk, Vanilla","-"
"Paradoxe","Prada","standard","women","₹349","₹549","₹999","-","-","Floral, Citrus, Musk","NEW ARRIVAL"
"Good Girl","Carolina Herrera","standard","women","₹349","₹549","₹999","-","-","Floral, Coffee, Woody","BESTSELLER"
"Bad Boy","Carolina Herrera","standard","men","₹349","₹549","₹999","-","-","Woody, Spicy, Fresh","-"
"212 VIP","Carolina Herrera","standard","women","₹349","₹549","₹999","-","-","Floral, Woody, Musk","-"
"Guilty","Gucci","standard","men","₹349","₹549","₹999","-","-","Citrus, Woody, Leather","-"
"Guilty (Women)","Gucci","standard","women","₹349","₹549","₹999","-","-","Floral, Citrus, Woody","-"
"Bloom","Gucci","standard","women","₹349","₹549","₹999","-","-","Floral, White Flowers, Tuberose","-"
"Flora","Gucci","standard","women","₹349","₹549","₹999","-","-","Floral, Citrus, Musk","POPULAR"
"Guilty Absolute EDP","Gucci","standard","men","₹349","₹549","₹999","-","-","Woody, Leather, Earthy","-"
"La Yuqawam","Rasasi","standard","men","₹349","₹549","₹999","-","-","Oud, Amber, Spicy","-"
"Hawas","Rasasi","standard","men","₹349","₹549","₹999","-","-","Aquatic, Spicy, Woody","-"
"Legend","Mont Blanc","standard","men","₹349","₹549","₹999","-","-","FougÃ¨re, Woody, Fresh","-"
"Legend EDP","Mont Blanc","standard","men","₹349","₹549","₹999","-","-","Woody, Amber, FougÃ¨re","-"
"Explorer","Mont Blanc","standard","men","₹349","₹549","₹999","-","-","Woody, Earthy, Spicy","-"
"Le Male","JPG","standard","men","₹349","₹549","₹999","-","-","Lavender, Vanilla, Mint","ICONIC"
"Scandal","JPG","standard","women","₹349","₹549","₹999","-","-","Honey, Floral, Woody","-"
"Beach Walk","Replica","standard","unisex","₹349","₹549","₹999","-","-","Citrus, Coconut, Musk","-"
"By the Fireplace","Replica","standard","unisex","₹349","₹549","₹999","-","-","Smoky, Vanilla, Woody","BESTSELLER"
"Jazz Club","Replica","standard","men","₹349","₹549","₹999","-","-","Tobacco, Rum, Vanilla","-"
"Tam Dao","Diptyque","standard","unisex","₹349","₹549","₹999","-","-","Sandalwood, Cedar, Woody","-"
"Do Son","Diptyque","standard","unisex","₹349","₹549","₹999","-","-","Tuberose, Floral, Musk","-"
"Philosykos","Diptyque","standard","unisex","₹349","₹549","₹999","-","-","Fig, Green, Woody","-"
"Boss Bottled","Hugo Boss","standard","men","₹349","₹549","₹999","-","-","Spicy, Woody, Apple","-"
"Boss Alive","Hugo Boss","standard","women","₹349","₹549","₹999","-","-","Floral, Fruity, Woody","-"
"Bombshell","Victoria's Secret","standard","women","₹349","₹549","₹999","-","-","Floral, Citrus, Fruity","-"
"Love Spell","Victoria's Secret","standard","women","₹349","₹549","₹999","-","-","Fruity, Floral, Musk","-"
"Essential","Lacoste","standard","men","₹349","₹549","₹999","-","-","Green, Woody, Musk","-"
"Blanc","Lacoste","standard","men","₹349","₹549","₹999","-","-","Fresh, Citrus, Woody","-"
"Polo Sports","Ralph Lauren","standard","men","₹349","₹549","₹999","-","-","Aquatic, Citrus, Fresh","-"
"Polo Blue","Ralph Lauren","standard","men","₹349","₹549","₹999","-","-","Aquatic, Cucumber, Woody","-"
"Ralph","Ralph Lauren","standard","women","₹349","₹549","₹999","-","-","Floral, Fruity, Fresh","-"
"For Men","Bentley","standard","men","₹349","₹549","₹999","-","-","Leather, Woody, Spicy","-"
"Intense","Bentley","standard","men","₹349","₹549","₹999","-","-","Woody, Amber, Spicy","-"
"Halfeti","Penhaligon's","standard","unisex","₹349","₹549","₹999","-","-","Rose, Oud, Amber","NICHE EXCLUSIVE"
"Rose & Oud","Naseem","standard","unisex","₹349","₹549","₹999","-","-","Rose, Oud, Musk","-"
"Gold","Naseem","standard","unisex","₹349","₹549","₹999","-","-","Amber, Musk, Oud","-"
"Classic","Jaguar","standard","men","₹349","₹549","₹999","-","-","Fresh, Citrus, Woody","-"
"Encre Noire","Lalique","standard","men","₹349","₹549","₹999","-","-","Woody, Vetiver, Dark","-"
"Lion","Lalique","standard","men","₹349","₹549","₹999","-","-","Spicy, Woody, Amber","-"
"Wood Sage & Sea Salt","Jo Malone","standard","unisex","₹349","₹549","₹999","-","-","Aquatic, Woody, Earthy","-"
"Peony & Blush Suede","Jo Malone","standard","unisex","₹349","₹549","₹999","-","-","Floral, Suede, Fruity","-"
"Lime Basil & Mandarin","Jo Malone","standard","unisex","₹349","₹549","₹999","-","-","Citrus, Herbal, Woody","-"
"Angel's Share","Kilian","standard","unisex","₹349","₹549","₹999","-","-","Cognac, Vanilla, Spicy","NICHE EXCLUSIVE"
"Black Phantom","Kilian","standard","unisex","₹349","₹549","₹999","-","-","Coffee, Rum, Vanilla","-"
"Love Don't Be Shy","Kilian","standard","unisex","₹349","₹549","₹999","-","-","Sweet, Musk, Marshmallow","-"
"Baccarat Rouge 540","MFK","standard","unisex","₹349","₹549","₹999","-","-","Amber, Floral, Woody","BESTSELLER"
"Grand Soir","MFK","standard","unisex","₹349","₹549","₹999","-","-","Amber, Vanilla, Incense","-"
"Oud Cashmere Mood","MFK","standard","unisex","₹349","₹549","₹999","-","-","Oud, Cashmere, Amber","-"
"Black Aoud","Montale","standard","men","₹349","₹549","₹999","-","-","Oud, Rose, Amber","-"
"Intense CafÃ©","Montale","standard","unisex","₹349","₹549","₹999","-","-","Coffee, Rose, Vanilla","BESTSELLER"
"Brit","Burberry","standard","men","₹349","₹549","₹999","-","-","Spicy, Woody, Ginger","-"
"Hero","Burberry","standard","men","₹349","₹549","₹999","-","-","Woody, Cedar, Pepper","NEW ARRIVAL"
"Layton","Parfums de Marly","standard","unisex","₹349","₹549","₹999","-","-","Woody, Vanilla, Spicy","BESTSELLER"
"Herod","Parfums de Marly","standard","men","₹349","₹549","₹999","-","-","Tobacco, Vanilla, Woody","-"
"Percival","Parfums de Marly","standard","unisex","₹349","₹549","₹999","-","-","Floral, Musk, Vanilla","-"
"Delina","Parfums de Marly","standard","women","₹349","₹549","₹999","-","-","Rose, Rhubarb, Musk","BESTSELLER"
"Flowerbomb","Viktor & Rolf","standard","women","₹349","₹549","₹999","-","-","Floral, Patchouli, Sweet","BESTSELLER"
"Spicebomb","Viktor & Rolf","standard","men","₹349","₹549","₹999","-","-","Spicy, Tobacco, Leather","-"
"Spicebomb Night Vision","Viktor & Rolf","standard","men","₹349","₹549","₹999","-","-","Herbal, Spicy, Woody","-"
"Musk Safi","Naseem","standard","unisex","₹349","₹549","₹999","-","-","Musk, White, Powdery","-"
"Phantom (Premium EDP)","Paco Rabanne","premium","men","-","₹999","₹1899","-","-","Woody, Spicy, Vanilla","PREMIUM"
"Spicebomb Extreme (Premium EDP)","Viktor & Rolf","premium","men","-","₹999","₹1899","-","-","Spicy, Vanilla, Tobacco","PREMIUM"
"Toy Boy (Premium EDP)","Moschino","premium","men","-","₹999","₹1899","-","-","Spicy, Floral, Woody","PREMIUM"
"Bergamote 22 (Premium EDP)","Le Labo","premium","unisex","-","₹999","₹1899","-","-","Citrus, Musk, Woody","PREMIUM"
"Rose 31 (Premium EDP)","Le Labo","premium","unisex","-","₹999","₹1899","-","-","Rose, Woody, Spicy","PREMIUM"
"Oud Ispahan (Premium EDP)","Dior","premium","unisex","-","₹999","₹1899","-","-","Oud, Rose, Amber","PREMIUM"
"Grey Vetiver (Premium EDP)","Tom Ford","premium","men","-","₹999","₹1899","-","-","Vetiver, Woody, Earthy","PREMIUM"
"Black Saffron (Premium EDP)","Byredo","premium","unisex","-","₹999","₹1899","-","-","Saffron, Leather, Woody","PREMIUM"
"H24 (Premium EDP)","Hermes","premium","men","-","₹999","₹1899","-","-","Green, Woody, Floral","PREMIUM"
"Green Irish Tweed (Premium EDP)","Creed","premium","men","-","₹999","₹1899","-","-","Green, Floral, Woody","PREMIUM"
"Red Tobacco (Premium EDP)","Mancera","premium","unisex","-","₹999","₹1899","-","-","Tobacco, Rose, Amber","PREMIUM"
"Voice of the Snake (Premium EDP)","Gucci","premium","unisex","-","₹999","₹1899","-","-","Oriental, Floral, Amber","PREMIUM"
"Royal Oud (Premium EDP)","Creed","premium","unisex","-","₹999","₹1899","-","-","Oud, Woody, Spicy","PREMIUM"
"CafÃ© Rose (Premium EDP)","Tom Ford","premium","unisex","-","₹999","₹1899","-","-","Coffee, Rose, Spicy","PREMIUM"
"Black Vanilla (Premium EDP)","Mancera","premium","unisex","-","₹999","₹1899","-","-","Vanilla, Caramel, Woody","PREMIUM"
"Side Effect (Premium EDP)","Initio","premium","unisex","-","₹999","₹1899","-","-","Vanilla, Tobacco, Woody","PREMIUM"
"Bleu de Jour (Premium EDP)","Tom Ford","premium","men","-","₹999","₹1899","-","-","Aquatic, Citrus, Woody","PREMIUM"
"Aoud Lemon Mint (Premium EDP)","Mancera","premium","unisex","-","₹999","₹1899","-","-","Oud, Citrus, Mint","PREMIUM"
"Instant Crush (Premium EDP)","Mancera","premium","unisex","-","₹999","₹1899","-","-","Rose, Musk, Amber","PREMIUM"
"Rose Vanilla (Premium EDP)","Mancera","premium","unisex","-","₹999","₹1899","-","-","Rose, Vanilla, Amber","PREMIUM"
"Acqua di GiÃ² Essenza (Premium EDP)","Armani","premium","men","-","₹999","₹1899","-","-","Aquatic, Woody, Amber","PREMIUM"
"MillÃ©sime ImpÃ©rial (Premium EDP)","Creed","premium","unisex","-","₹999","₹1899","-","-","Aquatic, Citrus, Musk","PREMIUM"
"Portrait of a Lady (Premium EDP)","FrÃ©dÃ©ric Malle","premium","women","-","₹999","₹1899","-","-","Rose, Patchouli, Raspberry","PREMIUM"
"Promise (Premium EDP)","FrÃ©dÃ©ric Malle","premium","unisex","-","₹999","₹1899","-","-","Musk, Iris, Amber","PREMIUM"
"Rose & Cuir (Premium EDP)","FrÃ©dÃ©ric Malle","premium","unisex","-","₹999","₹1899","-","-","Rose, Leather, Woody","PREMIUM"
"Jubilation 25 (Premium EDP)","Amouage","premium","women","-","₹999","₹1899","-","-","Oriental, Woody, Floral","PREMIUM"
"Reflection Man (Premium EDP)","Amouage","premium","men","-","₹999","₹1899","-","-","Floral, Woody, Aromatic","PREMIUM"
"Interlude 53 (Premium EDP)","Amouage","premium","men","-","₹999","₹1899","-","-","Incense, Oud, Amber","PREMIUM"
"Honey Aoud (Premium EDP)","Montale","premium","unisex","-","₹999","₹1899","-","-","Oud, Honey, Amber","PREMIUM"
"Irish Leather (Premium EDP)","Memo Paris","premium","unisex","-","₹999","₹1899","-","-","Leather, Woody, Green","PREMIUM"
"African Leather (Premium EDP)","Memo Paris","premium","unisex","-","₹999","₹1899","-","-","Leather, Spicy, Smoky","PREMIUM"
"40 Knots (Premium EDP)","Xerjoff","premium","unisex","-","₹999","₹1899","-","-","Aquatic, Woody, Citrus","PREMIUM"
"Bleecker Street (Premium EDP)","Bond No. 9","premium","unisex","-","₹999","₹1899","-","-","Citrus, Aromatic, Woody","PREMIUM"
"L'Homme IdÃ©al Cologne (Premium EDP)","Guerlain","premium","men","-","₹999","₹1899","-","-","Citrus, Herbal, Woody","PREMIUM"
"Uomo Intense (Premium EDP)","Valentino","premium","men","-","₹999","₹1899","-","-","Leather, Tobacco, Amber","PREMIUM"
"Alfred Icon Absolute (Premium EDP)","Dunhill","premium","men","-","₹999","₹1899","-","-","Woody, Amber, Tobacco","PREMIUM"
"Aventus (Allu Arjun Style)","Creed","celebrity","men","₹349","₹549","₹999","-","-","Fruity, Woody, Smoky","CELEBRITY INSPIRED"
"Tam Dao (Shah Rukh Khan Style)","Diptyque","celebrity","men","₹349","₹549","₹999","-","-","Sandalwood, Cedar, Woody","CELEBRITY INSPIRED"
"Ronaldo (CR7 Style)","Cristiano Ronaldo","celebrity","men","₹349","₹549","₹999","-","-","Citrus, Fresh, Woody","CELEBRITY INSPIRED"
"Alfred Icon Absolute (Shah Rukh Khan Style)","Dunhill","celebrity","men","₹349","₹549","₹999","-","-","Woody, Amber, Tobacco","CELEBRITY INSPIRED"
"Flora (Esha Gupta Style)","Gucci","celebrity","women","₹349","₹549","₹999","-","-","Floral, Citrus, Musk","CELEBRITY INSPIRED"
"King (Hrithik Roshan Style)","D&G","celebrity","men","₹349","₹549","₹999","-","-","Tobacco, Woody, Spicy","CELEBRITY INSPIRED"
"Musk Safi (Harbhajan Singh Style)","Naseem","celebrity","unisex","₹349","₹549","₹999","-","-","Musk, White, Powdery","CELEBRITY INSPIRED"
"Viking (Virat Kohli Style)","Creed","celebrity","men","₹349","₹549","₹999","-","-","Spicy, Woody, Fresh","CELEBRITY INSPIRED"
"Bleu de Chanel (Alia Bhatt Style)","Chanel","celebrity","unisex","₹349","₹549","₹999","-","-","Woody, Aromatic, Fresh","CELEBRITY INSPIRED"
"Green Irish Tweed (Shahid Kapoor Style)","Creed","celebrity","men","₹349","₹549","₹999","-","-","Green, Floral, Woody","CELEBRITY INSPIRED"
"No.5 (Sara Ali Khan Style)","Chanel","celebrity","women","₹349","₹549","₹999","-","-","Floral, Powdery, Aldehyde","CELEBRITY INSPIRED"
"OmbrÃ© Leather (Arjun Kapoor Style)","Tom Ford","celebrity","men","₹349","₹549","₹999","-","-","Leather, Floral, Woody","CELEBRITY INSPIRED"
"Gypsy Water (Sonam Kapoor Style)","Byredo","celebrity","unisex","₹349","₹549","₹999","-","-","Woody, Pine, Vanilla","CELEBRITY INSPIRED"
"Code Profumo (Alia Bhatt Style)","Armani","celebrity","men","₹349","₹549","₹999","-","-","Amber, Spicy, Tobacco","CELEBRITY INSPIRED"
"Bloom (Aditi Rao Hydari Style)","Gucci","celebrity","women","₹349","₹549","₹999","-","-","Floral, White Flowers, Tuberose","CELEBRITY INSPIRED"
"Angel's Share (BeyoncÃ© Style)","Kilian","celebrity","unisex","₹349","₹549","₹999","-","-","Cognac, Vanilla, Spicy","CELEBRITY INSPIRED"
"Le Male (Ranbir Kapoor Style)","JPG","celebrity","men","₹349","₹549","₹999","-","-","Lavender, Vanilla, Mint","CELEBRITY INSPIRED"
"Cool Water (Akshay Kumar Style)","Davidoff","celebrity","men","₹349","₹549","₹999","-","-","Aquatic, Fresh, Woody","CELEBRITY INSPIRED"
"Allure Homme Sport (Saif & Tiger Style)","Chanel","celebrity","men","₹349","₹549","₹999","-","-","Fresh, Citrus, Woody","CELEBRITY INSPIRED"
"Rose of No Man's Land (Hrithik Style)","Byredo","celebrity","unisex","₹349","₹549","₹999","-","-","Rose, Floral, Papyrus","CELEBRITY INSPIRED"
"Dylan Blue (Esha Gupta Style)","Versace","celebrity","women","₹349","₹549","₹999","-","-","Aquatic, FougÃ¨re, Woody","CELEBRITY INSPIRED"
"Guilty EDP (Ranveer Singh Style)","Gucci","celebrity","men","₹349","₹549","₹999","-","-","Woody, Leather, Earthy","CELEBRITY INSPIRED"
"Light Blue Intense (Anushka Sharma Style)","D&G","celebrity","women","₹349","₹549","₹999","-","-","Citrus, Floral, Amber","CELEBRITY INSPIRED"
"Tobacco Oudhi","Arabian Perfumer's","premium","unisex","-","₹999","₹1899","-","-","Tobacco, Oud, Amber, Spicy","ORIGINAL"
"Madawi","Arabian Oud","premium","unisex","-","₹1199","₹1899","-","-","Rose, Oud, Amber, Musk","PREMIUM"
"Le Homme","Arabian Perfumer's","premium","men","-","₹899","₹1599","-","-","Woody, Spicy, Amber","EXCLUSIVE"
"Oud Al Hindi Attar","Arabian Perfumer's","attar","unisex","-","-","-","3ml: ₹149 | 6ml: ₹299 | 12ml: ₹599","-","Oud, Woody, Earthy","ATTAR"
"Rose Taif Attar","Arabian Perfumer's","attar","women","-","-","-","3ml: ₹149 | 6ml: ₹299 | 12ml: ₹599","-","Rose, Floral, Honey","ATTAR"
"White Musk Attar","Arabian Perfumer's","attar","unisex","-","-","-","3ml: ₹149 | 6ml: ₹299 | 12ml: ₹599","-","Musk, Powdery, Clean","ATTAR"
"Amber Oud Attar","Arabian Perfumer's","attar","unisex","-","-","-","3ml: ₹149 | 6ml: ₹299 | 12ml: ₹599","-","Amber, Oud, Vanilla","ATTAR"
"Saffron Oud Attar","Arabian Perfumer's","attar","men","-","-","-","3ml: ₹149 | 6ml: ₹299 | 12ml: ₹599","-","Saffron, Oud, Spicy","ATTAR"
"Jasmine Attar","Arabian Perfumer's","attar","women","-","-","-","3ml: ₹149 | 6ml: ₹299 | 12ml: ₹599","-","Jasmine, Floral, Musk","ATTAR"
"Kewda Attar","Arabian Perfumer's","attar","unisex","-","-","-","3ml: ₹149 | 6ml: ₹299 | 12ml: ₹599","-","Floral, Green, Fresh","ATTAR"
"Mysore Sandalwood Attar","Arabian Perfumer's","attar","unisex","-","-","-","3ml: ₹149 | 6ml: ₹299 | 12ml: ₹599","-","Sandalwood, Woody, Creamy","ATTAR"
"Oud Royale Solid Perfume","Arabian Perfumer's","personal-care","unisex","-","-","-","-","10g: ₹99","Oud, Amber, Musk","SOLID PERFUME CREAM"
"Rose Musk Solid Perfume","Arabian Perfumer's","personal-care","women","-","-","-","-","10g: ₹99","Rose, Musk, Floral","SOLID PERFUME CREAM"
"Amber Vanilla Solid Perfume","Arabian Perfumer's","personal-care","unisex","-","-","-","-","10g: ₹99","Amber, Vanilla, Woody","SOLID PERFUME CREAM"
"Fresh Citrus Solid Perfume","Arabian Perfumer's","personal-care","unisex","-","-","-","-","10g: ₹99","Citrus, Fresh, Woody","SOLID PERFUME CREAM"
"Jasmine Sandalwood Solid Perfume","Arabian Perfumer's","personal-care","women","-","-","-","-","10g: ₹99","Jasmine, Sandalwood, Floral","SOLID PERFUME CREAM"
"Solid Perfume Body Creams","Arabian Perfumer's","personal-care","unisex","-","-","-","-","1 unit: ₹100","Floral, Musk, Fresh","PERSONAL CARE"
"Mogra Body Cream","Arabian Perfumer's","personal-care","women","-","-","-","-","1 unit: ₹100","Jasmine, Floral, Fresh","PERSONAL CARE"
"Handmade Herbal Soaps","Arabian Perfumer's","personal-care","unisex","-","-","-","-","1 bar: ₹55","Herbal, Fresh, Green","HERBAL Â· â‚¹55"
"Crack Cream","Arabian Perfumer's","personal-care","unisex","-","-","-","-","-","Herbal, Fresh","ENQUIRE"
"Wooden Bakhoor Burner","Arabian Perfumer's","home-fragrance","unisex","-","-","-","-","1 piece: ₹250","Oud, Woody, Amber","HOME FRAGRANCE"
"Jawadhu Powder","Arabian Perfumer's","home-fragrance","unisex","-","-","-","-","10g: ₹150","Oud, Spicy, Amber","HOME FRAGRANCE"
"Premium Dhoop Sticks","Arabian Perfumer's","home-fragrance","unisex","-","-","-","-","-","Incense, Woody, Oud","ENQUIRE"
"Aroma Burners","Arabian Perfumer's","home-fragrance","unisex","-","-","-","-","-","Oud, Amber, Spicy","WHOLESALE"
"Electrical Bakhoor Burner","Arabian Perfumer's","home-fragrance","unisex","-","-","-","-","-","Oud, Amber","ENQUIRE"
"Non-Electric Bakhoor Burner","Arabian Perfumer's","home-fragrance","unisex","-","-","-","-","-","Oud, Amber, Woody","ENQUIRE"
"Car Hanging Perfumes","Arabian Perfumer's","home-fragrance","unisex","-","-","-","-","-","Fresh, Citrus, Musk","ENQUIRE"
"Reed Diffusers","Arabian Perfumer's","home-fragrance","unisex","-","-","-","-","-","Fresh, Floral, Oud","ENQUIRE"
"Display Attar Bottles","Arabian Perfumer's","packaging","unisex","-","-","-","-","1 piece: ₹390","Packaging","PACKAGING"
"Golden Attar Bottles","Arabian Perfumer's","packaging","unisex","-","-","-","-","-","Packaging","ENQUIRE"
"Attar Bottles (6ml & 12ml)","Arabian Perfumer's","packaging","unisex","-","-","-","-","-","Packaging","WHOLESALE"
"100ml Perfume Bottles","Arabian Perfumer's","packaging","unisex","-","-","-","-","1 piece: ₹130","Packaging","WHOLESALE"
