Product Name,Brand,Category / Collection,Gender,Available Sizes & Prices (INR),Fragrance Family / Notes
"Gypsy Water","Byredo","standard","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Woody, Pine, Vanilla"
"Super Cedar","Byredo","standard","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Woody, Rose, Musk"
"Rose of No Man's Land","Byredo","standard","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Rose, Floral, Papyrus"
"1 Million","Paco Rabanne","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Spicy, Leather, Amber"
"Invictus","Paco Rabanne","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Aquatic, Fresh, Woody"
"Invictus Legend","Paco Rabanne","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Woody, Spicy, Amber"
"Lady Million","Paco Rabanne","standard","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Floral, Honey, Woody"
"Cool Water","Davidoff","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Aquatic, Fresh, Woody"
"Cool Water Women","Davidoff","standard","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Aquatic, Floral, Musk"
"Wanted","Azzaro","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Spicy, Woody, Citrus"
"Chrome","Azzaro","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Citrus, Aquatic, Woody"
"Most Wanted","Azzaro","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Spicy, Amber, Woody"
"Man in Black","Bvlgari","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Amber, Tobacco, Spicy"
"Aqva","Bvlgari","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Aquatic, Citrus, Fresh"
"Omnia Crystalline","Bvlgari","standard","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Floral, Fresh, Woody"
"Light Blue","D&G","standard","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Citrus, Floral, Woody"
"Light Blue (Men)","D&G","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Citrus, Aquatic, Woody"
"Light Blue Intense","D&G","standard","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Citrus, Floral, Amber"
"King","D&G","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Tobacco, Woody, Spicy"
"Queen","D&G","standard","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Rose, Floral, Woody"
"Eros","Versace","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Minty, Woody, Vanilla"
"Dylan Blue","Versace","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Aquatic, FougÃ¨re, Woody"
"Bright Crystal","Versace","standard","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Floral, Fruity, Musk"
"Crystal Noir","Versace","standard","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Floral, Oriental, Musk"
"La Nuit de L'Homme","YSL","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Spicy, Woody, Cardamom"
"Y EDP","YSL","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Fruity, Spicy, Woody"
"Black Opium","YSL","standard","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Coffee, Vanilla, Floral"
"Libre","YSL","standard","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Floral, Lavender, Musk"
"CK One","CK","standard","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Citrus, Fresh, Musk"
"Eternity","CK","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Green, Floral, Woody"
"Euphoria","CK","standard","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Floral, Oriental, Fruity"
"Terre d'HermÃ¨s","Hermes","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Woody, Citrus, Earthy"
"Voyage d'HermÃ¨s","Hermes","standard","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Fresh, Citrus, Woody"
"Twilly d'HermÃ¨s","Hermes","standard","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Floral, Ginger, Tuberose"
"L'Eau d'Issey","Issey Miyake","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Aquatic, Fresh, Woody"
"L'Eau d'Issey (Women)","Issey Miyake","standard","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Aquatic, Floral, Musk"
"Luna Rossa","Prada","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Aquatic, Herbal, Woody"
"Luna Rossa Black","Prada","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Spicy, Woody, Amber"
"Candy","Prada","standard","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Sweet, Musk, Vanilla"
"Paradoxe","Prada","standard","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Floral, Citrus, Musk"
"Good Girl","Carolina Herrera","standard","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Floral, Coffee, Woody"
"Bad Boy","Carolina Herrera","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Woody, Spicy, Fresh"
"212 VIP","Carolina Herrera","standard","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Floral, Woody, Musk"
"Guilty","Gucci","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Citrus, Woody, Leather"
"Guilty (Women)","Gucci","standard","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Floral, Citrus, Woody"
"Bloom","Gucci","standard","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Floral, White Flowers, Tuberose"
"Flora","Gucci","standard","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Floral, Citrus, Musk"
"Guilty Absolute EDP","Gucci","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Woody, Leather, Earthy"
"La Yuqawam","Rasasi","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Oud, Amber, Spicy"
"Hawas","Rasasi","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Aquatic, Spicy, Woody"
"Legend","Mont Blanc","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","FougÃ¨re, Woody, Fresh"
"Legend EDP","Mont Blanc","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Woody, Amber, FougÃ¨re"
"Explorer","Mont Blanc","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Woody, Earthy, Spicy"
"Le Male","JPG","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Lavender, Vanilla, Mint"
"Scandal","JPG","standard","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Honey, Floral, Woody"
"Beach Walk","Replica","standard","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Citrus, Coconut, Musk"
"By the Fireplace","Replica","standard","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Smoky, Vanilla, Woody"
"Jazz Club","Replica","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Tobacco, Rum, Vanilla"
"Tam Dao","Diptyque","standard","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Sandalwood, Cedar, Woody"
"Do Son","Diptyque","standard","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Tuberose, Floral, Musk"
"Philosykos","Diptyque","standard","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Fig, Green, Woody"
"Boss Bottled","Hugo Boss","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Spicy, Woody, Apple"
"Boss Alive","Hugo Boss","standard","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Floral, Fruity, Woody"
"Bombshell","Victoria's Secret","standard","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Floral, Citrus, Fruity"
"Love Spell","Victoria's Secret","standard","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Fruity, Floral, Musk"
"Essential","Lacoste","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Green, Woody, Musk"
"Blanc","Lacoste","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Fresh, Citrus, Woody"
"Polo Sports","Ralph Lauren","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Aquatic, Citrus, Fresh"
"Polo Blue","Ralph Lauren","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Aquatic, Cucumber, Woody"
"Ralph","Ralph Lauren","standard","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Floral, Fruity, Fresh"
"For Men","Bentley","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Leather, Woody, Spicy"
"Intense","Bentley","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Woody, Amber, Spicy"
"Halfeti","Penhaligon's","standard","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Rose, Oud, Amber"
"Rose & Oud","Naseem","standard","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Rose, Oud, Musk"
"Gold","Naseem","standard","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Amber, Musk, Oud"
"Classic","Jaguar","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Fresh, Citrus, Woody"
"Encre Noire","Lalique","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Woody, Vetiver, Dark"
"Lion","Lalique","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Spicy, Woody, Amber"
"Wood Sage & Sea Salt","Jo Malone","standard","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Aquatic, Woody, Earthy"
"Peony & Blush Suede","Jo Malone","standard","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Floral, Suede, Fruity"
"Lime Basil & Mandarin","Jo Malone","standard","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Citrus, Herbal, Woody"
"Angel's Share","Kilian","standard","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Cognac, Vanilla, Spicy"
"Black Phantom","Kilian","standard","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Coffee, Rum, Vanilla"
"Love Don't Be Shy","Kilian","standard","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Sweet, Musk, Marshmallow"
"Baccarat Rouge 540","MFK","standard","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Amber, Floral, Woody"
"Grand Soir","MFK","standard","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Amber, Vanilla, Incense"
"Oud Cashmere Mood","MFK","standard","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Oud, Cashmere, Amber"
"Black Aoud","Montale","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Oud, Rose, Amber"
"Intense CafÃ©","Montale","standard","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Coffee, Rose, Vanilla"
"Brit","Burberry","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Spicy, Woody, Ginger"
"Hero","Burberry","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Woody, Cedar, Pepper"
"Layton","Parfums de Marly","standard","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Woody, Vanilla, Spicy"
"Herod","Parfums de Marly","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Tobacco, Vanilla, Woody"
"Percival","Parfums de Marly","standard","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Floral, Musk, Vanilla"
"Delina","Parfums de Marly","standard","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Rose, Rhubarb, Musk"
"Flowerbomb","Viktor & Rolf","standard","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Floral, Patchouli, Sweet"
"Spicebomb","Viktor & Rolf","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Spicy, Tobacco, Leather"
"Spicebomb Night Vision","Viktor & Rolf","standard","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Herbal, Spicy, Woody"
"Musk Safi","Naseem","standard","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Musk, White, Powdery"
"Phantom (Premium EDP)","Paco Rabanne","premium","men","50ml: ₹999 | 100ml: ₹1899","Woody, Spicy, Vanilla"
"Spicebomb Extreme (Premium EDP)","Viktor & Rolf","premium","men","50ml: ₹999 | 100ml: ₹1899","Spicy, Vanilla, Tobacco"
"Toy Boy (Premium EDP)","Moschino","premium","men","50ml: ₹999 | 100ml: ₹1899","Spicy, Floral, Woody"
"Bergamote 22 (Premium EDP)","Le Labo","premium","unisex","50ml: ₹999 | 100ml: ₹1899","Citrus, Musk, Woody"
"Rose 31 (Premium EDP)","Le Labo","premium","unisex","50ml: ₹999 | 100ml: ₹1899","Rose, Woody, Spicy"
"Oud Ispahan (Premium EDP)","Dior","premium","unisex","50ml: ₹999 | 100ml: ₹1899","Oud, Rose, Amber"
"Grey Vetiver (Premium EDP)","Tom Ford","premium","men","50ml: ₹999 | 100ml: ₹1899","Vetiver, Woody, Earthy"
"Black Saffron (Premium EDP)","Byredo","premium","unisex","50ml: ₹999 | 100ml: ₹1899","Saffron, Leather, Woody"
"H24 (Premium EDP)","Hermes","premium","men","50ml: ₹999 | 100ml: ₹1899","Green, Woody, Floral"
"Green Irish Tweed (Premium EDP)","Creed","premium","men","50ml: ₹999 | 100ml: ₹1899","Green, Floral, Woody"
"Red Tobacco (Premium EDP)","Mancera","premium","unisex","50ml: ₹999 | 100ml: ₹1899","Tobacco, Rose, Amber"
"Voice of the Snake (Premium EDP)","Gucci","premium","unisex","50ml: ₹999 | 100ml: ₹1899","Oriental, Floral, Amber"
"Royal Oud (Premium EDP)","Creed","premium","unisex","50ml: ₹999 | 100ml: ₹1899","Oud, Woody, Spicy"
"CafÃ© Rose (Premium EDP)","Tom Ford","premium","unisex","50ml: ₹999 | 100ml: ₹1899","Coffee, Rose, Spicy"
"Black Vanilla (Premium EDP)","Mancera","premium","unisex","50ml: ₹999 | 100ml: ₹1899","Vanilla, Caramel, Woody"
"Side Effect (Premium EDP)","Initio","premium","unisex","50ml: ₹999 | 100ml: ₹1899","Vanilla, Tobacco, Woody"
"Bleu de Jour (Premium EDP)","Tom Ford","premium","men","50ml: ₹999 | 100ml: ₹1899","Aquatic, Citrus, Woody"
"Aoud Lemon Mint (Premium EDP)","Mancera","premium","unisex","50ml: ₹999 | 100ml: ₹1899","Oud, Citrus, Mint"
"Instant Crush (Premium EDP)","Mancera","premium","unisex","50ml: ₹999 | 100ml: ₹1899","Rose, Musk, Amber"
"Rose Vanilla (Premium EDP)","Mancera","premium","unisex","50ml: ₹999 | 100ml: ₹1899","Rose, Vanilla, Amber"
"Acqua di GiÃ² Essenza (Premium EDP)","Armani","premium","men","50ml: ₹999 | 100ml: ₹1899","Aquatic, Woody, Amber"
"MillÃ©sime ImpÃ©rial (Premium EDP)","Creed","premium","unisex","50ml: ₹999 | 100ml: ₹1899","Aquatic, Citrus, Musk"
"Portrait of a Lady (Premium EDP)","FrÃ©dÃ©ric Malle","premium","women","50ml: ₹999 | 100ml: ₹1899","Rose, Patchouli, Raspberry"
"Promise (Premium EDP)","FrÃ©dÃ©ric Malle","premium","unisex","50ml: ₹999 | 100ml: ₹1899","Musk, Iris, Amber"
"Rose & Cuir (Premium EDP)","FrÃ©dÃ©ric Malle","premium","unisex","50ml: ₹999 | 100ml: ₹1899","Rose, Leather, Woody"
"Jubilation 25 (Premium EDP)","Amouage","premium","women","50ml: ₹999 | 100ml: ₹1899","Oriental, Woody, Floral"
"Reflection Man (Premium EDP)","Amouage","premium","men","50ml: ₹999 | 100ml: ₹1899","Floral, Woody, Aromatic"
"Interlude 53 (Premium EDP)","Amouage","premium","men","50ml: ₹999 | 100ml: ₹1899","Incense, Oud, Amber"
"Honey Aoud (Premium EDP)","Montale","premium","unisex","50ml: ₹999 | 100ml: ₹1899","Oud, Honey, Amber"
"Irish Leather (Premium EDP)","Memo Paris","premium","unisex","50ml: ₹999 | 100ml: ₹1899","Leather, Woody, Green"
"African Leather (Premium EDP)","Memo Paris","premium","unisex","50ml: ₹999 | 100ml: ₹1899","Leather, Spicy, Smoky"
"40 Knots (Premium EDP)","Xerjoff","premium","unisex","50ml: ₹999 | 100ml: ₹1899","Aquatic, Woody, Citrus"
"Bleecker Street (Premium EDP)","Bond No. 9","premium","unisex","50ml: ₹999 | 100ml: ₹1899","Citrus, Aromatic, Woody"
"L'Homme IdÃ©al Cologne (Premium EDP)","Guerlain","premium","men","50ml: ₹999 | 100ml: ₹1899","Citrus, Herbal, Woody"
"Uomo Intense (Premium EDP)","Valentino","premium","men","50ml: ₹999 | 100ml: ₹1899","Leather, Tobacco, Amber"
"Alfred Icon Absolute (Premium EDP)","Dunhill","premium","men","50ml: ₹999 | 100ml: ₹1899","Woody, Amber, Tobacco"
"Aventus (Allu Arjun Style)","Creed","celebrity","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Fruity, Woody, Smoky"
"Tam Dao (Shah Rukh Khan Style)","Diptyque","celebrity","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Sandalwood, Cedar, Woody"
"Ronaldo (CR7 Style)","Cristiano Ronaldo","celebrity","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Citrus, Fresh, Woody"
"Alfred Icon Absolute (Shah Rukh Khan Style)","Dunhill","celebrity","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Woody, Amber, Tobacco"
"Flora (Esha Gupta Style)","Gucci","celebrity","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Floral, Citrus, Musk"
"King (Hrithik Roshan Style)","D&G","celebrity","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Tobacco, Woody, Spicy"
"Musk Safi (Harbhajan Singh Style)","Naseem","celebrity","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Musk, White, Powdery"
"Viking (Virat Kohli Style)","Creed","celebrity","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Spicy, Woody, Fresh"
"Bleu de Chanel (Alia Bhatt Style)","Chanel","celebrity","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Woody, Aromatic, Fresh"
"Green Irish Tweed (Shahid Kapoor Style)","Creed","celebrity","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Green, Floral, Woody"
"No.5 (Sara Ali Khan Style)","Chanel","celebrity","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Floral, Powdery, Aldehyde"
"OmbrÃ© Leather (Arjun Kapoor Style)","Tom Ford","celebrity","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Leather, Floral, Woody"
"Gypsy Water (Sonam Kapoor Style)","Byredo","celebrity","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Woody, Pine, Vanilla"
"Code Profumo (Alia Bhatt Style)","Armani","celebrity","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Amber, Spicy, Tobacco"
"Bloom (Aditi Rao Hydari Style)","Gucci","celebrity","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Floral, White Flowers, Tuberose"
"Angel's Share (BeyoncÃ© Style)","Kilian","celebrity","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Cognac, Vanilla, Spicy"
"Le Male (Ranbir Kapoor Style)","JPG","celebrity","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Lavender, Vanilla, Mint"
"Cool Water (Akshay Kumar Style)","Davidoff","celebrity","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Aquatic, Fresh, Woody"
"Allure Homme Sport (Saif & Tiger Style)","Chanel","celebrity","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Fresh, Citrus, Woody"
"Rose of No Man's Land (Hrithik Style)","Byredo","celebrity","unisex","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Rose, Floral, Papyrus"
"Dylan Blue (Esha Gupta Style)","Versace","celebrity","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Aquatic, FougÃ¨re, Woody"
"Guilty EDP (Ranveer Singh Style)","Gucci","celebrity","men","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Woody, Leather, Earthy"
"Light Blue Intense (Anushka Sharma Style)","D&G","celebrity","women","20ml: ₹349 | 50ml: ₹549 | 100ml: ₹999","Citrus, Floral, Amber"
"Tobacco Oudhi","Arabian Perfumer's","premium","unisex","50ml: ₹999 | 100ml: ₹1899","Tobacco, Oud, Amber, Spicy"
"Madawi","Arabian Oud","premium","unisex","50ml: ₹1199 | 100ml: ₹1899","Rose, Oud, Amber, Musk"
"Le Homme","Arabian Perfumer's","premium","men","50ml: ₹899 | 100ml: ₹1599","Woody, Spicy, Amber"
"Oud Al Hindi Attar","Arabian Perfumer's","attar","unisex","3ml: ₹149 | 6ml: ₹299 | 12ml: ₹599","Oud, Woody, Earthy"
"Rose Taif Attar","Arabian Perfumer's","attar","women","3ml: ₹149 | 6ml: ₹299 | 12ml: ₹599","Rose, Floral, Honey"
"White Musk Attar","Arabian Perfumer's","attar","unisex","3ml: ₹149 | 6ml: ₹299 | 12ml: ₹599","Musk, Powdery, Clean"
"Amber Oud Attar","Arabian Perfumer's","attar","unisex","3ml: ₹149 | 6ml: ₹299 | 12ml: ₹599","Amber, Oud, Vanilla"
"Saffron Oud Attar","Arabian Perfumer's","attar","men","3ml: ₹149 | 6ml: ₹299 | 12ml: ₹599","Saffron, Oud, Spicy"
"Jasmine Attar","Arabian Perfumer's","attar","women","3ml: ₹149 | 6ml: ₹299 | 12ml: ₹599","Jasmine, Floral, Musk"
"Kewda Attar","Arabian Perfumer's","attar","unisex","3ml: ₹149 | 6ml: ₹299 | 12ml: ₹599","Floral, Green, Fresh"
"Mysore Sandalwood Attar","Arabian Perfumer's","attar","unisex","3ml: ₹149 | 6ml: ₹299 | 12ml: ₹599","Sandalwood, Woody, Creamy"
"Oud Royale Solid Perfume","Arabian Perfumer's","personal-care","unisex","8g: ₹99 | 15g: ₹199","Oud, Amber, Musk"
"Rose Musk Solid Perfume","Arabian Perfumer's","personal-care","women","8g: ₹99 | 15g: ₹199","Rose, Musk, Floral"
